name,image,message,link
①リーシュコード,picture/リーシュコード.png,ゲレンデにおけるマナーです。大事故を起こすその前に！,https://www.morispo.shop/shopbrand/126738/
②デッキパッド,picture/デッキパッド イラスト①.png,リフトから降りるときの滑り止め。ブーツ裏の雪を払うことも。,https://www.morispo.shop/shopbrand/126744/
③ワックス,picture/スーパーペースト.png,板はワックスをしないと滑りません。板の保護にもなるので、必ず塗りましょう。,https://www.morispo.shop/shopbrand/126976/
④ケーブルロック,picture/ケーブルロック.png,大切な板を盗難被害から守ろう!,https://www.morispo.shop/shopbrand/126750/
⑤ケース類,picture/ボードケース.png,持ち運びや保管の際に必要になります。用途によって様々な種類があります。,https://www.morispo.shop/shopbrand/126716/
インソール,picture/インソール.png,足の力を効率よく板に伝え、上達に繋がります。疲労軽減効果も。,https://www.morispo.shop/shopdetail/000000014379/I88904/page1/order/
ブーツケース,picture/ブーツバッグ.png,持ち運びや保管に便利。車内の汚れも防げます。,https://www.morispo.shop/shopbrand/126715/
ブーツインナー,picture/ブーツインナー(イラスト).png,春先や雨の日に大活躍。水の侵入を防ぎます。,https://www.morispo.shop/shopbrand/126715/
ビンディングシート,picture/プロテクションシート(イラスト).png,板へのダメージを軽減し、板折れや傷を防ぎます。,https://www.morispo.shop/shopdetail/000000054126/126838/page1/order/
⑩ヘルメット,picture/method proイラスト.png,転倒や大きな事故から頭部を守る。恐怖心を軽減し、上達にも繋がる。,https://www.morispo.shop/shopbrand/126699/
⑪ゴーグル,picture/squadイラスト(影なし).png,雪面の凹凸がハッキリ見え、視界もクリアに。スノーボードの上達間違いなし！,https://www.morispo.shop/shopbrand/126620/
⑫フェイスマスク,picture/フェイスマスク.png,防寒＆日焼け防止。まさに一石二鳥。,https://www.morispo.shop/shopbrand/126792/
⑬フードウォーマー,picture/フードウォーマー.png,防寒・防風・オシャレ。ゲレンデでも快適に!,https://www.morispo.shop/shopbrand/126791/
⑭インナーウェア,picture/ミズノ インナー イラスト.png,ウィンタースポーツに適したインナーウェアを選ぼう。,https://www.morispo.shop/shopbrand/126829/
⑮プロテクター,picture/ヒッププロテクター.png,転倒への恐怖心を軽減し、上達をサポート。保温の効果も。,https://www.morispo.shop/shopbrand/126665/
⑯パスケース,picture\パスケース イラスト②.png,リフト券を入れる専用ケース。紛失防止にも。,https://www.morispo.shop/shopbrand/126717/
⑰グローブ,picture/グローブ.png,ゲレンデは寒く グローブなしでは滑れません。怪我の防止のためにも必要日可決なアイテム。,https://www.morispo.shop/shopbrand/126650/
グローブリーシュ,picture/グローブリーシュ.png,グローブを外した際に、落として無くさないように。,https://www.morispo.shop/shopbrand/126664/
ベルト,picture/ベルト.png,流行りはビッグシルエット！ ベルトがあれば、どんなにワイドなパンツでも履きこなせます。,https://morispo.shop/shopdetail/000000057907/126838/page1/order/
⑳ソックス,picture/ソックス.png,サポート力・保温力に優れたスキー・スノーボードに適したソックス。,https://www.morispo.shop/shopbrand/126834/
